0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	51	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	32	52	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	26	21	22	23	24	25	20	27	28	29	30	31	51	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	32	52	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	26	21	22	23	24	25	20	27	28	29	30	31	51	33	34	35	36	37	38	52	40	41	42	43	44	45	46	47	48	49	50	32	39	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	26	25	22	23	24	21	20	27	28	29	30	31	51	33	34	35	36	37	38	52	40	41	42	43	44	45	46	47	48	49	50	32	39	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	26	25	22	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	42	43	44	45	46	47	48	49	50	32	39	53
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	26	25	22	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	46	47	48	42	50	32	39	53
0	1	2	3	4	5	6	7	8	12	10	11	9	13	14	15	16	17	18	19	26	25	22	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	46	47	48	42	50	32	39	53
0	1	2	3	22	5	6	7	8	12	10	11	9	13	14	15	16	17	18	19	26	25	4	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	46	47	48	42	50	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	19	26	25	4	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	10	47	48	42	50	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	19	26	25	4	23	36	21	20	27	28	29	30	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	10	50	48	42	47	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	19	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	35	24	37	38	52	40	41	49	43	44	45	10	50	30	42	47	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	19	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	41	24	37	38	52	40	35	49	43	44	45	10	50	30	42	47	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	41	24	37	38	52	19	35	49	43	44	45	10	50	30	42	47	32	39	53
0	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	41	24	37	38	52	19	35	49	43	53	45	10	50	30	42	47	32	39	44
43	1	2	3	22	5	6	7	8	12	46	11	9	13	14	15	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	41	24	37	38	52	19	35	49	0	53	45	10	50	30	42	47	32	39	44
43	1	2	3	6	5	22	7	8	12	46	11	9	13	14	15	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	34	41	24	37	38	52	19	35	49	0	53	45	10	50	30	42	47	32	39	44
43	1	2	3	6	5	22	7	8	12	46	11	9	13	14	15	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	45	41	24	37	38	52	19	35	49	0	53	34	10	50	30	42	47	32	39	44
43	1	2	3	6	5	22	7	8	12	46	11	9	13	14	39	16	17	18	40	26	25	4	23	36	21	20	27	28	29	48	31	51	33	45	41	24	37	38	52	19	35	49	0	53	34	10	50	30	42	47	32	15	44
