0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
36	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	0	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
36	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	0	37	38	39	40	41	42	43	44	54	46	47	48	49	50	51	52	53	45	55
36	1	2	3	4	5	6	7	8	31	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	9	32	33	34	35	0	37	38	39	40	41	42	43	44	54	46	47	48	49	50	51	52	53	45	55
36	44	2	3	4	5	6	7	8	31	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	9	32	33	34	35	0	37	38	39	40	41	42	43	1	54	46	47	48	49	50	51	52	53	45	55
36	44	33	3	4	5	6	7	8	31	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	9	32	2	34	35	0	37	38	39	40	41	42	43	1	54	46	47	48	49	50	51	52	53	45	55
36	44	33	3	40	5	6	7	8	31	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	9	32	2	34	35	0	37	38	39	4	41	42	43	1	54	46	47	48	49	50	51	52	53	45	55
36	44	33	3	40	5	6	7	8	31	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	46	28	29	30	9	32	2	34	35	0	37	38	39	4	41	42	43	1	54	27	47	48	49	50	51	52	53	45	55
36	44	33	3	40	5	6	7	8	31	29	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	39	4	41	42	43	1	54	27	47	48	49	50	51	52	53	45	55
36	44	33	3	40	5	6	7	8	31	29	11	12	13	14	15	16	17	18	19	20	39	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	52	53	45	55
36	44	33	3	40	5	6	7	8	31	29	11	12	13	14	15	16	17	52	19	20	39	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	53	45	55
36	44	33	3	40	5	6	7	8	31	29	11	12	13	14	15	16	17	52	19	20	39	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	53	45	55
36	44	33	3	40	5	6	11	8	31	29	7	12	13	14	15	16	17	52	19	20	39	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	53	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	23	24	25	26	46	28	10	30	9	32	2	34	35	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	53	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	23	24	35	26	46	28	10	30	9	32	2	34	25	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	53	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	23	24	35	26	46	28	10	30	9	53	2	34	25	0	37	38	21	4	41	42	43	1	54	27	47	48	49	50	51	18	32	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	42	24	35	26	46	28	10	30	9	53	2	34	25	0	37	38	21	4	41	23	43	1	54	27	47	48	49	50	51	18	32	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	42	24	35	34	46	28	10	30	9	53	2	26	25	0	37	38	21	4	41	23	43	1	54	27	47	48	49	50	51	18	32	45	55
36	44	33	3	40	5	6	11	8	31	29	7	15	13	14	12	16	17	52	19	20	39	22	42	24	35	34	46	28	10	30	9	53	2	26	47	0	37	38	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	3	40	5	6	8	11	31	29	7	15	13	14	12	16	17	52	19	20	39	22	42	24	35	34	46	28	10	30	9	53	2	26	47	0	37	38	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	3	40	5	6	8	11	31	29	7	15	13	14	12	16	17	52	19	20	39	22	42	24	35	34	46	28	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	16	40	5	6	8	11	31	29	7	15	13	14	12	3	17	52	19	20	39	22	42	24	35	34	46	28	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	16	40	5	6	8	11	31	29	7	15	13	22	12	3	17	52	19	20	39	14	42	24	35	34	46	28	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	16	40	5	6	8	11	31	29	7	15	13	22	12	3	17	24	19	20	39	14	42	52	35	34	46	28	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	55
36	44	33	16	40	5	6	8	11	31	29	7	15	13	22	12	3	17	24	19	20	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	28
36	44	33	16	19	5	6	8	11	31	29	7	15	13	22	12	3	17	24	40	20	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	48	49	50	51	18	32	45	28
36	44	33	16	19	5	6	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	20	49	50	51	18	32	45	28
36	44	5	16	19	33	6	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	37	0	21	4	41	23	43	1	54	27	25	20	49	50	51	18	32	45	28
36	44	5	16	19	33	6	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	50	0	21	4	41	23	43	1	54	27	25	20	49	37	51	18	32	45	28
36	44	5	16	19	33	6	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	50	0	21	4	41	23	1	43	54	27	25	20	49	37	51	18	32	45	28
36	44	5	16	19	33	6	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	46	55	10	30	9	53	2	26	47	38	50	0	41	4	21	23	1	43	54	27	25	20	49	37	51	18	32	45	28
36	44	5	16	19	33	46	8	11	31	29	7	15	13	22	12	3	17	24	40	48	39	14	42	52	35	34	6	55	10	30	9	53	2	26	47	38	50	0	41	4	21	23	1	43	54	27	25	20	49	37	51	18	32	45	28
36	44	5	16	19	33	46	8	11	31	29	7	15	13	22	12	3	17	24	40	48	51	14	42	52	35	34	6	55	10	30	9	53	2	26	47	38	50	0	41	4	21	23	1	43	54	27	25	20	49	37	39	18	32	45	28
36	44	5	16	19	33	46	8	11	31	29	7	15	13	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	30	9	53	2	26	47	38	50	0	41	4	21	23	1	43	54	27	25	20	49	37	39	18	32	45	28
36	44	5	16	19	33	46	8	11	31	29	7	15	13	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	38	9	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	25	20	49	37	39	18	32	45	28
36	44	5	16	19	33	46	8	11	31	29	7	13	15	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	38	9	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	25	20	49	37	39	18	32	45	28
16	44	5	36	19	33	46	8	11	31	29	7	13	15	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	38	9	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	25	20	49	37	39	18	32	45	28
16	44	5	36	19	33	46	8	11	31	29	7	13	15	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	38	9	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	31	29	7	13	15	22	12	3	42	24	40	48	51	14	17	52	35	34	6	55	10	38	9	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	31	29	7	13	15	22	12	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	12	29	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	12	29	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	2	26	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	12	29	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	12	29	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	12	29	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	22	31	3	42	24	40	48	51	14	17	9	35	34	6	55	10	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	22	31	3	42	24	40	48	51	14	10	9	35	34	6	55	17	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	39	18	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	22	31	3	42	24	40	48	51	14	10	9	35	34	6	55	17	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	49	37	18	39	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	35	34	6	55	17	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	22	37	18	39	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	35	34	6	55	17	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	22	37	18	39	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	34	35	6	55	17	38	52	53	26	2	47	30	50	0	41	4	21	23	1	43	54	27	45	20	22	37	18	39	32	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	34	35	6	55	17	38	52	53	26	2	47	30	50	0	41	4	32	23	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	34	35	6	55	17	38	52	0	26	2	47	30	50	53	41	4	32	23	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	34	35	6	55	17	38	52	0	26	2	47	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	33	46	8	11	29	12	7	13	15	49	31	3	42	24	40	48	51	14	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	33	46	31	11	29	12	7	13	15	49	8	3	42	24	40	48	51	14	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	11	46	31	33	29	12	7	13	15	49	8	3	42	24	40	48	51	14	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	11	46	31	33	29	12	7	13	15	49	8	3	42	24	40	48	51	14	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	11	46	31	33	29	12	7	13	15	49	8	3	42	24	40	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	11	46	31	33	29	12	7	13	15	49	8	3	24	42	40	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	19	11	46	31	33	29	12	7	13	15	49	8	3	24	42	40	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	11	19	46	31	33	29	12	7	13	15	49	8	3	24	42	40	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	11	19	46	31	40	29	12	7	13	15	49	8	3	24	42	33	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	45	20	22	37	18	39	21	25	28
16	44	5	36	11	19	46	31	40	29	12	7	13	15	49	8	3	24	42	33	48	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	20	45	22	37	18	39	21	25	28
16	44	5	36	11	19	46	31	40	29	12	7	13	48	49	8	3	24	42	33	15	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	20	45	22	37	18	39	21	25	28
16	44	48	36	11	19	46	31	40	29	12	7	13	5	49	8	3	24	42	33	15	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	20	45	22	37	18	39	21	25	28
16	44	48	36	11	19	46	31	40	29	12	7	13	5	49	8	3	24	42	33	15	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	20	45	22	37	18	39	21	25	28
16	44	48	36	11	19	46	31	40	29	12	7	13	5	49	8	3	24	42	33	15	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	1	43	54	27	20	45	22	37	18	39	21	25	28
16	44	48	36	11	19	46	31	40	29	12	7	13	5	49	1	3	24	42	33	15	14	51	10	9	34	35	6	47	17	38	52	0	26	2	55	23	50	53	41	4	32	30	8	43	54	27	20	45	22	37	18	39	21	25	28
