0	1	2	3	4	5	6	7	8
2	1	0	3	4	5	6	7	8
2	1	0	3	4	7	6	5	8
2	1	0	7	4	3	6	5	8
2	1	0	7	4	3	6	5	8
2	1	0	7	3	4	6	5	8
2	1	0	7	3	4	6	5	8
2	1	0	7	3	4	6	5	8
4	1	0	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
4	0	1	7	3	2	6	5	8
