0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
0	19	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	20	21	22	23	24	25	26	27
0	3	2	19	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	20	21	22	23	24	25	26	27
0	3	2	19	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	20	21	26	23	24	25	22	27
0	3	21	19	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	20	2	26	23	24	25	22	27
0	3	21	19	4	5	6	26	8	9	10	11	12	13	14	15	16	17	18	1	20	2	7	23	24	25	22	27
0	3	21	19	4	5	9	26	8	6	10	11	12	13	14	15	16	17	18	1	20	2	7	23	24	25	22	27
0	3	21	19	25	5	9	26	8	6	10	11	12	13	14	15	16	17	18	1	20	2	7	23	24	4	22	27
22	3	21	19	25	5	9	26	8	6	10	11	12	13	14	15	16	17	18	1	20	2	7	23	24	4	0	27
22	3	21	19	25	5	9	26	8	6	10	11	16	13	14	15	12	17	18	1	20	2	7	23	24	4	0	27
22	3	21	19	25	17	9	26	8	6	10	11	16	13	14	15	12	5	18	1	20	2	7	23	24	4	0	27
22	3	21	19	25	17	9	26	8	6	10	11	16	27	14	15	12	5	18	1	20	2	7	23	24	4	0	13
15	3	21	19	25	17	9	26	8	6	10	11	16	27	14	22	12	5	18	1	20	2	7	23	24	4	0	13
15	3	21	19	25	17	9	26	11	6	10	8	16	27	14	22	12	5	18	1	20	2	7	23	24	4	0	13
15	3	21	20	25	17	9	26	11	6	10	8	16	27	14	22	12	5	18	1	19	2	7	23	24	4	0	13
15	3	21	20	25	17	9	26	11	6	10	8	16	27	14	22	12	5	18	1	19	2	7	23	24	4	0	13
15	24	21	20	25	17	9	26	11	6	10	8	16	27	14	22	12	5	18	1	19	2	7	23	3	4	0	13
15	24	21	20	25	17	9	26	11	6	10	8	16	27	14	22	12	5	3	1	19	2	7	23	18	4	0	13
15	24	21	20	25	17	9	26	11	6	12	8	16	27	14	22	10	5	3	1	19	2	7	23	18	4	0	13
15	24	21	20	25	17	9	26	11	6	12	8	16	27	7	22	10	5	3	1	19	2	14	23	18	4	0	13
15	24	21	20	1	17	9	26	11	6	12	8	16	27	7	22	10	5	3	25	19	2	14	23	18	4	0	13
15	24	21	20	1	17	9	26	11	6	12	8	16	27	7	22	10	5	3	25	19	14	2	23	18	4	0	13
15	21	24	20	1	17	9	26	11	6	12	8	16	27	7	22	10	5	3	25	19	14	2	23	18	4	0	13
15	21	24	20	1	17	9	23	11	6	12	8	16	27	7	22	10	5	3	25	19	14	2	26	18	4	0	13
15	21	24	20	1	17	16	23	11	6	12	8	9	27	7	22	10	5	3	25	19	14	2	26	18	4	0	13
15	21	24	20	1	17	16	23	6	11	12	8	9	27	7	22	10	5	3	25	19	14	2	26	18	4	0	13
15	21	24	20	1	17	16	23	6	11	12	8	9	27	7	22	10	5	3	25	19	14	2	26	18	0	4	13
15	21	24	20	1	17	16	23	6	11	5	8	9	27	7	22	10	12	3	25	19	14	2	26	18	0	4	13
15	21	24	20	1	8	16	23	6	11	5	17	9	27	7	22	10	12	3	25	19	14	2	26	18	0	4	13
15	21	24	20	1	8	16	23	6	11	5	17	9	27	7	22	10	12	3	25	13	14	2	26	18	0	4	19
15	21	24	20	1	8	16	23	6	11	5	17	27	9	7	22	10	12	3	25	13	14	2	26	18	0	4	19
15	21	24	20	1	8	16	22	6	11	5	17	27	9	7	23	10	12	3	25	13	14	2	26	18	0	4	19
