0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
0	1	2	3	4	5	6	7	8	16	10	11	12	13	14	15	9	17	18	19	20	21	22	23
0	1	2	3	4	5	6	7	8	16	10	11	12	13	14	15	9	18	17	19	20	21	22	23
0	1	2	3	4	16	6	7	8	5	10	11	12	13	14	15	9	18	17	19	20	21	22	23
0	10	2	3	4	16	6	7	8	5	1	11	12	13	14	15	9	18	17	19	20	21	22	23
0	10	2	3	16	4	6	7	8	5	1	11	12	13	14	15	9	18	17	19	20	21	22	23
0	10	2	3	16	4	6	19	8	5	1	11	12	13	14	15	9	18	17	7	20	21	22	23
0	10	2	3	16	4	6	19	8	5	1	11	12	13	14	15	9	18	17	7	22	21	20	23
0	10	2	3	16	4	6	19	8	5	1	11	12	13	14	15	9	18	17	7	22	21	20	23
0	10	2	3	16	4	6	19	8	5	1	11	12	13	14	15	9	18	17	7	22	21	20	23
0	10	2	3	16	4	6	11	8	5	1	19	12	13	14	15	9	18	17	7	22	21	20	23
0	10	2	3	16	4	6	11	8	5	1	19	13	12	14	15	9	18	17	7	22	21	20	23
0	10	2	8	16	4	6	11	3	5	1	19	13	12	14	15	9	18	17	7	22	21	20	23
0	10	2	8	16	4	6	11	3	5	1	19	13	12	14	15	9	18	17	7	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	17	7	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	17	7	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	17	7	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	17	7	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	7	17	23	21	20	22
0	10	2	8	16	4	14	11	3	5	1	19	13	12	6	15	9	18	7	17	23	21	20	22
0	10	2	8	16	4	14	11	3	19	1	5	13	12	6	15	9	18	7	17	23	21	20	22
0	16	2	8	10	4	14	11	3	19	1	5	13	12	6	15	9	18	7	17	23	21	20	22
0	16	2	8	10	4	14	11	3	19	5	1	13	12	6	15	9	18	7	17	23	21	20	22
0	16	2	8	10	11	14	4	3	19	5	1	13	12	6	15	9	18	7	17	23	21	20	22
0	16	2	8	10	11	14	4	3	19	5	1	13	12	6	15	9	18	7	17	23	21	20	22
0	16	2	8	10	11	14	4	3	19	5	1	15	12	6	13	9	18	7	17	23	21	20	22
0	16	2	8	10	11	14	4	3	19	5	1	15	12	6	13	9	18	7	17	23	21	20	22
0	16	2	8	10	11	14	4	3	19	5	1	15	6	12	13	9	18	7	17	23	21	20	22
0	16	2	8	10	3	14	4	11	19	5	1	15	6	12	13	9	18	7	17	23	21	20	22
0	16	2	23	10	3	14	4	11	19	5	1	15	6	12	13	9	18	7	17	8	21	20	22
0	16	2	23	10	3	14	4	11	19	5	1	15	6	12	13	9	18	7	17	8	21	20	22
0	16	2	23	10	3	4	14	11	19	5	1	15	6	12	13	9	18	7	17	8	21	20	22
2	16	0	23	10	3	4	14	11	19	5	1	15	6	12	13	9	18	7	17	8	21	20	22
2	16	0	23	10	3	4	14	11	19	5	1	15	6	12	13	8	18	7	17	9	21	20	22
2	16	0	23	10	3	4	14	11	19	5	1	15	6	12	13	8	18	7	17	9	21	20	22
2	16	0	23	10	3	4	14	11	19	5	1	15	6	12	13	8	7	18	17	9	21	20	22
2	16	0	23	10	3	4	14	11	19	5	1	15	6	12	13	8	7	18	17	9	21	20	22
2	0	16	23	10	3	4	14	11	19	5	1	15	6	12	13	8	7	18	17	9	21	20	22
10	0	16	23	2	3	4	14	11	19	5	1	15	6	12	13	8	7	18	17	9	21	20	22
10	0	16	23	2	3	4	14	11	19	5	1	15	6	12	13	8	7	18	17	9	21	20	22
10	0	16	23	2	3	4	14	11	19	5	6	15	1	12	13	8	7	18	17	9	21	20	22
10	0	16	23	2	3	4	14	11	19	5	6	15	1	12	13	8	7	18	17	20	21	9	22
10	0	16	23	2	3	4	14	11	19	5	6	15	1	12	13	8	7	18	17	20	21	9	22
10	0	16	23	2	3	4	14	11	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
10	0	16	23	2	3	4	14	11	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
10	0	16	23	2	11	4	14	3	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
10	0	16	23	2	11	4	14	3	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
10	0	16	23	2	11	4	14	3	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
10	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	8	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	1	13	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	3	19	5	6	15	13	1	12	10	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	2	11	14	4	10	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
8	0	16	23	10	11	14	4	2	19	5	6	15	13	1	12	3	7	18	17	20	21	9	22
