0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
0	26	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	27
0	26	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	21	23	24	25	1	27
0	26	2	3	4	5	6	7	8	9	10	11	12	1	14	15	16	17	18	19	20	22	21	23	24	25	13	27
0	26	2	3	4	5	6	7	8	9	10	11	12	1	14	15	24	17	18	19	20	22	21	23	16	25	13	27
15	26	2	3	4	5	6	7	8	9	10	11	12	1	14	0	24	17	18	19	20	22	21	23	16	25	13	27
15	26	2	3	4	5	6	7	8	9	10	11	12	1	14	0	24	17	18	27	20	22	21	23	16	25	13	19
15	26	0	3	4	5	6	7	8	9	10	11	12	1	14	2	24	17	18	27	20	22	21	23	16	25	13	19
15	26	0	3	4	5	6	7	23	9	10	11	12	1	14	2	24	17	18	27	20	22	21	8	16	25	13	19
7	26	0	3	4	5	6	15	23	9	10	11	12	1	14	2	24	17	18	27	20	22	21	8	16	25	13	19
7	26	0	3	4	5	6	15	23	9	10	11	12	1	14	2	24	17	18	27	20	22	21	8	16	13	25	19
7	26	0	3	4	5	6	15	23	9	10	11	16	1	14	2	24	17	18	27	20	22	21	8	12	13	25	19
7	26	0	3	4	9	6	15	23	5	10	11	16	1	14	2	24	17	18	27	20	22	21	8	12	13	25	19
7	26	0	3	4	9	6	15	23	5	10	8	16	1	14	2	24	17	18	27	20	22	21	11	12	13	25	19
7	26	10	3	4	9	6	15	23	5	0	8	16	1	14	2	24	17	18	27	20	22	21	11	12	13	25	19
7	26	10	3	4	9	5	15	23	6	0	8	16	1	14	2	24	17	18	27	20	22	21	11	12	13	25	19
7	26	10	3	4	9	5	15	23	6	0	8	16	1	14	2	24	18	17	27	20	22	21	11	12	13	25	19
7	26	10	3	4	9	5	15	23	6	0	8	16	1	22	2	24	18	17	27	20	14	21	11	12	13	25	19
7	26	10	3	20	9	5	15	23	6	0	8	16	1	22	2	24	18	17	27	4	14	21	11	12	13	25	19
7	26	10	0	20	9	5	15	23	6	3	8	16	1	22	2	24	18	17	27	4	14	21	11	12	13	25	19
7	2	10	0	20	9	5	15	23	6	3	8	16	1	22	26	24	18	17	27	4	14	21	11	12	13	25	19
7	2	10	0	20	9	5	15	23	6	3	8	16	1	22	26	24	18	17	27	4	14	21	11	12	13	25	19
7	2	10	0	20	9	5	15	23	6	3	8	16	13	22	26	24	18	17	27	4	14	21	11	12	1	25	19
7	2	10	0	20	9	5	15	23	6	3	8	16	13	22	26	21	18	17	27	4	14	24	11	12	1	25	19
7	2	10	0	20	9	5	15	23	6	3	8	16	13	22	26	21	18	17	27	19	14	24	11	12	1	25	4
7	2	10	0	20	9	5	15	23	6	3	8	27	13	22	26	21	18	17	16	19	14	24	11	12	1	25	4
7	2	10	0	20	9	5	15	14	6	3	8	27	13	22	26	21	18	17	16	19	23	24	11	12	1	25	4
7	2	10	0	20	9	5	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	12	1	25	4
7	2	10	0	20	9	5	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	12	1	25	4
7	2	10	0	20	9	25	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	12	1	5	4
7	2	10	0	12	9	25	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	20	1	5	4
7	2	10	0	12	4	25	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	20	1	5	9
7	2	10	0	12	4	25	22	14	6	3	8	27	13	15	26	21	18	17	16	19	23	24	11	20	1	5	9
7	2	10	0	12	4	25	22	14	6	3	8	27	13	15	26	11	18	17	16	19	23	24	21	20	1	5	9
7	2	18	0	12	4	25	22	14	6	3	8	27	13	15	26	11	10	17	16	19	23	24	21	20	1	5	9
