0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	1	2	3	4	5	6	7	8	9	10	11	12	13	24	15	16	17	18	19	20	21	22	23	14	25	26	27	28	29
0	1	2	3	4	5	6	7	8	12	10	11	9	13	24	15	16	17	18	19	20	21	22	23	14	25	26	27	28	29
0	1	2	3	4	5	6	7	8	12	10	11	9	13	24	15	16	17	18	19	20	21	22	23	14	29	26	27	28	25
0	1	2	3	20	5	6	7	8	12	10	11	9	13	24	15	16	17	18	19	4	21	22	23	14	29	26	27	28	25
0	1	2	3	20	5	6	7	8	12	10	11	9	13	24	15	16	17	18	26	4	21	22	23	14	29	19	27	28	25
0	1	21	3	20	5	6	7	8	12	10	11	9	13	24	15	16	17	18	26	4	2	22	23	14	29	19	27	28	25
0	1	21	3	20	5	6	7	8	12	16	11	9	13	24	15	10	17	18	26	4	2	22	23	14	29	19	27	28	25
0	1	21	3	20	5	6	7	8	12	16	27	9	13	24	15	10	17	18	26	4	2	22	23	14	29	19	11	28	25
0	1	21	3	20	5	6	7	24	12	16	27	9	13	8	15	10	17	18	26	4	2	22	23	14	29	19	11	28	25
0	1	21	3	20	5	6	7	24	12	16	27	9	13	8	15	10	17	18	26	4	2	22	23	14	29	19	11	28	25
0	1	21	3	20	5	6	7	24	12	16	27	9	13	8	15	10	17	18	26	4	2	22	29	14	23	19	11	28	25
0	1	21	3	20	5	6	7	24	12	16	27	9	13	8	15	10	2	18	26	4	17	22	29	14	23	19	11	28	25
0	1	21	24	20	5	6	7	3	12	16	27	9	13	8	15	10	2	18	26	4	17	22	29	14	23	19	11	28	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	18	26	4	17	22	29	14	23	19	11	9	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	18	26	4	17	22	29	14	23	19	11	9	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	18	26	4	17	22	29	14	23	19	11	9	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	7	3	12	16	27	28	13	8	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	8	3	12	16	27	28	13	7	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	8	3	12	16	27	28	13	7	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	8	3	12	16	27	28	13	7	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	8	3	12	16	27	28	13	7	15	10	2	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	24	20	5	6	8	3	2	16	27	28	13	7	15	10	12	19	26	4	17	22	29	14	23	18	11	9	25
0	1	21	25	20	5	6	8	3	2	16	27	28	13	7	15	10	12	19	26	4	17	22	29	14	23	18	11	9	24
0	1	21	25	20	5	6	8	3	2	16	27	28	13	7	15	10	12	19	26	4	17	22	29	14	23	18	11	9	24
0	1	21	25	5	20	6	8	3	2	16	27	28	13	7	15	10	12	19	26	4	17	22	29	14	23	18	11	9	24
0	1	21	25	5	20	6	8	3	2	16	27	28	13	7	15	10	12	19	18	4	17	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	16	27	28	13	7	15	10	12	19	18	4	21	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	16	27	28	13	7	15	12	10	19	18	4	21	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	12	27	28	13	7	15	16	10	19	18	4	21	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	12	27	28	13	7	15	16	10	19	18	4	21	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	12	27	28	13	7	15	16	10	19	18	4	21	22	29	14	23	26	11	9	24
0	1	17	25	5	20	6	8	3	2	12	27	28	13	7	15	16	10	23	18	4	21	22	29	14	19	26	11	9	24
0	1	17	25	5	20	6	8	3	2	12	27	28	13	7	15	16	10	23	18	4	29	22	21	14	19	26	11	9	24
0	1	17	25	5	20	6	8	15	2	12	27	28	13	7	3	16	10	23	18	4	29	22	21	14	19	26	11	9	24
0	1	17	25	5	20	6	8	15	2	12	27	28	13	7	3	16	10	23	18	4	29	22	21	14	19	26	11	9	24
0	1	17	25	5	20	6	8	15	2	12	27	28	13	7	3	16	10	23	18	4	29	22	21	14	19	26	11	9	24
0	1	17	25	5	20	6	13	15	2	12	27	28	8	7	3	16	10	23	18	4	29	22	21	14	19	26	11	9	24
0	1	17	25	5	20	6	13	15	2	12	27	28	8	7	3	16	10	23	18	4	22	29	21	14	19	26	11	9	24
